[10:12:20] 📍 Loaded 563 district venues
[10:12:20] 🚀 DISTRICT SCRAPER STARTED
[10:12:33] ✅ Fetched 59 venues with shows
[10:12:33] ✅ DONE | Shows=241 | Movies=6
[16:45:46] 📍 Loaded 563 district venues
[16:45:46] 🚀 DISTRICT SCRAPER STARTED
[16:45:58] ✅ Fetched 68 venues with shows
[16:45:58] ✅ DONE | Shows=282 | Movies=6
[04:43:51] 📍 Loaded 563 district venues
[04:43:51] 🚀 DISTRICT SCRAPER STARTED
[04:43:51] ⚠ 4780 status 429
[04:43:51] ⚠ 17483 status 429
[04:43:51] ⚠ 9661 status 429
[04:43:51] ⚠ 1033177 status 429
[04:43:51] ⚠ 1020338 status 429
[04:43:51] ⚠ 9784 status 429
[04:43:51] ⚠ 14354 status 429
[04:43:51] ⚠ 29954 status 429
[04:43:51] ⚠ 1018468 status 429
[04:43:51] ⚠ 1041732 status 429
[04:43:51] ⚠ 7826 status 429
[04:43:51] ⚠ 25281 status 429
[04:43:51] ⚠ 27725 status 429
[04:43:51] ⚠ 3145 status 429
[04:43:51] ⚠ 9150 status 429
[04:43:51] ⚠ 1006037 status 429
[04:43:51] ⚠ 1030383 status 429
[04:43:51] ⚠ 1041726 status 429
[04:43:51] ⚠ 1041465 status 429
[04:43:51] ⚠ 4852 status 429
[04:43:51] ⚠ 1055922 status 429
[04:43:51] ⚠ 1074202 status 429
[04:43:51] ⚠ 1013210 status 429
[04:43:51] ⚠ 7753 status 429
[04:43:51] ⚠ 7814 status 429
[04:43:51] ⚠ 7856 status 429
[04:43:51] ⚠ 19110 status 429
[04:43:51] ⚠ 58822 status 429
[04:43:51] ⚠ 1028118 status 429
[04:43:51] ⚠ 9044 status 429
[04:43:51] ⚠ 7312 status 429
[04:43:51] ⚠ 4163 status 429
[04:43:51] ⚠ 28863 status 429
[04:43:51] ⚠ 4904 status 429
[04:43:51] ⚠ 4340 status 429
[04:43:51] ⚠ 1050768 status 429
[04:43:51] ⚠ 1019687 status 429
[04:43:51] ⚠ 27432 status 429
[04:43:51] ⚠ 4379 status 429
[04:43:51] ⚠ 4255 status 429
[04:43:51] ⚠ 9131 status 429
[04:43:51] ⚠ 5080 status 429
[04:43:51] ⚠ 4425 status 429
[04:43:51] ⚠ 1041566 status 429
[04:43:51] ⚠ 5105 status 429
[04:43:51] ⚠ 1088778 status 429
[04:43:51] ⚠ 1026095 status 429
[04:43:51] ⚠ 7627 status 429
[04:43:51] ⚠ 1398 status 429
[04:43:51] ⚠ 28235 status 429
[04:43:51] ⚠ 19289 status 429
[04:43:51] ⚠ 1042822 status 429
[04:43:51] ⚠ 7260 status 429
[04:43:51] ⚠ 1020350 status 429
[04:43:51] ⚠ 1041211 status 429
[04:43:51] ⚠ 30441 status 429
[04:43:51] ⚠ 1041495 status 429
[04:43:51] ⚠ 1039748 status 429
[04:43:51] ⚠ 6079 status 429
[04:43:51] ⚠ 1031639 status 429
[04:43:51] ⚠ 19294 status 429
[04:43:51] ⚠ 1033524 status 429
[04:43:51] ⚠ 1014297 status 429
[04:43:51] ⚠ 1054202 status 429
[04:43:51] ⚠ 1041691 status 429
[04:43:51] ⚠ 1009967 status 429
[04:43:51] ⚠ 1031640 status 429
[04:43:51] ⚠ 26729 status 429
[04:43:51] ⚠ 9176 status 429
[04:43:51] ⚠ 29510 status 429
[04:43:51] ⚠ 43960 status 429
[04:43:51] ⚠ 10268 status 429
[04:43:51] ⚠ 24522 status 429
[04:43:51] ⚠ 7308 status 429
[04:43:51] ⚠ 32811 status 429
[04:43:51] ⚠ 1055117 status 429
[04:43:51] ⚠ 1013662 status 429
[04:43:51] ⚠ 33645 status 429
[04:43:51] ⚠ 9780 status 429
[04:43:51] ⚠ 54684 status 429
[04:43:51] ⚠ 9497 status 429
[04:43:51] ⚠ 984 status 429
[04:43:51] ⚠ 12947 status 429
[04:43:51] ⚠ 1041729 status 429
[04:43:51] ⚠ 6096 status 429
[04:43:51] ⚠ 482 status 429
[04:43:51] ⚠ 1041684 status 429
[04:43:51] ⚠ 1039923 status 429
[04:43:51] ⚠ 1030384 status 429
[04:43:51] ⚠ 1066216 status 429
[04:43:51] ⚠ 1041782 status 429
[04:43:51] ⚠ 9291 status 429
[04:43:51] ⚠ 1018796 status 429
[04:43:51] ⚠ 4714 status 429
[04:43:51] ⚠ 9527 status 429
[04:43:51] ⚠ 9653 status 429
[04:43:51] ⚠ 1056146 status 429
[04:43:51] ⚠ 476 status 429
[04:43:51] ⚠ 22884 status 429
[04:43:51] ⚠ 1008441 status 429
[04:43:51] ⚠ 1089364 status 429
[04:43:51] ⚠ 1039863 status 429
[04:43:51] ⚠ 15614 status 429
[04:43:51] ⚠ 1049289 status 429
[04:43:51] ⚠ 5103 status 429
[04:43:51] ⚠ 1065452 status 429
[04:43:51] ⚠ 1078620 status 429
[04:43:51] ⚠ 24767 status 429
[04:43:51] ⚠ 3976 status 429
[04:43:51] ⚠ 1049288 status 429
[04:43:51] ⚠ 1075662 status 429
[04:43:51] ⚠ 1054735 status 429
[04:43:51] ⚠ 6035 status 429
[04:43:51] ⚠ 1019544 status 429
[04:43:51] ⚠ 14703 status 429
[04:43:51] ⚠ 1027244 status 429
[04:43:51] ⚠ 1041567 status 429
[04:43:51] ⚠ 1004633 status 429
[04:43:51] ⚠ 1035939 status 429
[04:43:51] ⚠ 1054736 status 429
[04:43:51] ⚠ 52682 status 429
[04:43:51] ⚠ 1092992 status 429
[04:43:51] ⚠ 25008 status 429
[04:43:51] ⚠ 26294 status 429
[04:43:51] ⚠ 5061 status 429
[04:43:51] ⚠ 1024041 status 429
[04:43:51] ⚠ 27908 status 429
[04:43:51] ⚠ 3906 status 429
[04:43:51] ⚠ 1056839 status 429
[04:43:51] ⚠ 6121 status 429
[04:43:51] ⚠ 38446 status 429
[04:43:51] ⚠ 1009010 status 429
[04:43:51] ⚠ 31792 status 429
[04:43:51] ⚠ 1032344 status 429
[04:43:51] ⚠ 4976 status 429
[04:43:51] ⚠ 1054730 status 429
[04:43:51] ⚠ 1042215 status 429
[04:43:51] ⚠ 1056846 status 429
[04:43:51] ⚠ 1059680 status 429
[04:43:51] ⚠ 49852 status 429
[04:43:51] ⚠ 4124 status 429
[04:43:51] ⚠ 1009117 status 429
[04:43:51] ⚠ 24880 status 429
[04:43:51] ⚠ 9292 status 429
[04:43:51] ⚠ 1036955 status 429
[04:43:51] ⚠ 1088219 status 429
[04:43:51] ⚠ 1021629 status 429
[04:43:51] ⚠ 39874 status 429
[04:43:51] ⚠ 1068242 status 429
[04:43:51] ⚠ 9041 status 429
[04:43:51] ⚠ 4881 status 429
[04:43:51] ⚠ 9169 status 429
[04:43:51] ⚠ 9504 status 429
[04:43:51] ⚠ 1025576 status 429
[04:43:51] ⚠ 1039864 status 429
[04:43:51] ⚠ 4890 status 429
[04:43:51] ⚠ 9100 status 429
[04:43:51] ⚠ 4038 status 429
[04:43:51] ⚠ 9368 status 429
[04:43:51] ⚠ 10255 status 429
[04:43:51] ⚠ 1054742 status 429
[04:43:51] ⚠ 24246 status 429
[04:43:51] ⚠ 15526 status 429
[04:43:51] ⚠ 1004635 status 429
[04:43:51] ⚠ 1053536 status 429
[04:43:51] ⚠ 31788 status 429
[04:43:51] ⚠ 7504 status 429
[04:43:51] ⚠ 1082851 status 429
[04:43:51] ⚠ 1012136 status 429
[04:43:51] ⚠ 10270 status 429
